                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.62596,                0.53265,                 1.1238,                0.82931,                  0.875,                0.87605,                0.59085,                 1.1822,                 2.6012,                 2.0411,              0.0007724,              0.0007724,              0.0007724
                     64,                0.59094,                0.51407,                 1.1083,                0.81292,                  0.875,                0.94357,                0.66707,                 1.0085,                 2.1706,                 2.0234,              0.0007526,              0.0007526,              0.0007526
                     65,                0.51281,                0.49388,                 1.0217,                0.81292,                  0.875,                0.94357,                0.66707,                 1.0085,                 2.1706,                 2.0234,              0.0007328,              0.0007328,              0.0007328
                     66,                0.54493,                0.45887,                 0.9757,                0.87591,                      1,                0.98167,                0.74047,                0.83489,                 1.3858,                 1.7338,               0.000713,               0.000713,               0.000713
                     67,                0.55425,                0.63452,                0.99767,                0.87591,                      1,                0.98167,                0.74047,                0.83489,                 1.3858,                 1.7338,              0.0006932,              0.0006932,              0.0006932
                     68,                0.54431,                0.51636,                 1.0542,                      1,                0.99865,                  0.995,                0.76726,                0.91535,                 1.3799,                 1.7591,              0.0006734,              0.0006734,              0.0006734
                     69,                0.52228,                0.46329,                0.98019,                      1,                0.99865,                  0.995,                0.76726,                0.91535,                 1.3799,                 1.7591,              0.0006536,              0.0006536,              0.0006536
                     70,                0.57148,                 0.4725,                 1.0704,                0.88823,                0.99407,                0.96722,                0.79568,                0.88323,                 1.2362,                 1.6219,              0.0006338,              0.0006338,              0.0006338
                     71,                0.62993,                0.52206,                 1.1842,                0.88823,                0.99407,                0.96722,                0.79568,                0.88323,                 1.2362,                 1.6219,               0.000614,               0.000614,               0.000614
                     72,                0.49403,                 0.4855,                 1.0213,                0.88833,                0.99501,                0.93944,                0.72735,                0.86695,                 1.2194,                 1.5984,              0.0005942,              0.0005942,              0.0005942
                     73,                0.52029,                0.51308,                 1.0268,                0.88833,                0.99501,                0.93944,                0.72735,                0.86695,                 1.2194,                 1.5984,              0.0005744,              0.0005744,              0.0005744
                     74,                0.46331,                0.42521,                0.98518,                0.88136,                      1,                0.96722,                0.75901,                0.88554,                  1.202,                  1.529,              0.0005546,              0.0005546,              0.0005546
                     75,                0.49252,                0.53095,                 1.0165,                0.88136,                      1,                0.96722,                0.75901,                0.88554,                  1.202,                  1.529,              0.0005348,              0.0005348,              0.0005348
                     76,                0.47602,                0.41792,                 1.0128,                0.78341,                  0.875,                0.93975,                0.75022,                0.83295,                  1.046,                 1.4079,               0.000515,               0.000515,               0.000515
                     77,                0.50481,                 0.4427,                 1.0315,                0.78341,                  0.875,                0.93975,                0.75022,                0.83295,                  1.046,                 1.4079,              0.0004952,              0.0004952,              0.0004952
                     78,                0.45914,                0.41486,                0.97296,                0.79851,                      1,                0.95389,                0.62651,                 0.9403,                 1.1172,                 1.4639,              0.0004754,              0.0004754,              0.0004754
                     79,                0.57741,                0.55656,                 1.0741,                0.79851,                      1,                0.95389,                0.62651,                 0.9403,                 1.1172,                 1.4639,              0.0004556,              0.0004556,              0.0004556
                     80,                0.56073,                0.51979,                 1.0559,                      1,                0.84065,                  0.971,                0.69904,                 0.9353,                0.90175,                 1.5105,              0.0004358,              0.0004358,              0.0004358
                     81,                0.43087,                0.43033,                 1.0213,                      1,                0.84065,                  0.971,                0.69904,                 0.9353,                0.90175,                 1.5105,               0.000416,               0.000416,               0.000416
